"Species","Type","Dead.Code","X","Y","Diam10","Height","DBH","Crown.Radius","Growth","timestep","Treatment","Unit","PlotNumber","Class","C_tree","C_unit"
"Pl","Snag","Alive",234.103,96.6499,NA,13.6406187826214,11.5673,NA,NA,24,"CC","A1",3,1,0.0205053185990117,0.13253514205732
"Hw","Snag","Alive",298.111,150.955,NA,11.2446040364007,10.457,NA,NA,24,"CC","A1",7,1,0.0143784540774896,0.13253514205732
"Pl","Snag","Alive",418.754,155.419,NA,16.1104774292215,15.7191,NA,NA,24,"CC","A1",9,1,0.0415347279858814,0.13253514205732
"Sx","Snag","Alive",170.23,412.965,NA,6.81221698728925,5.91669,NA,NA,24,"CC","A1",26,1,0.00368501682638067,0.13253514205732
"Pl","Snag","Alive",169.049,475.36,NA,11.2446040364007,8.44798,NA,NA,24,"CC","A1",29,1,0.00977849228403476,0.13253514205732
"Pl","Snag","Alive",172.051,476.271,NA,16.2047481552779,15.9045,NA,NA,24,"CC","A1",29,1,0.0426531322845223,0.13253514205732
"Pl","Snag","Alive",234.103,96.6499,NA,13.6406187826214,11.5673,NA,NA,25,"CC","A1",3,1,0.0205053185990117,0.234329230174455
"Hw","Snag","Alive",298.111,150.955,NA,11.2446040364007,10.457,NA,NA,25,"CC","A1",7,1,0.0143784540774896,0.234329230174455
"Pl","Snag","Alive",418.754,155.419,NA,16.1104774292215,15.7191,NA,NA,25,"CC","A1",9,1,0.0415347279858814,0.234329230174455
"Pl","Snag","Alive",232.691,222.544,NA,16.7716032857901,17.0737,NA,NA,25,"CC","A1",12,1,0.0500554852692587,0.234329230174455
"Pl","Snag","Alive",416.521,220.301,NA,14.9505591450994,13.6171,NA,NA,25,"CC","A1",15,1,0.0299234819369506,0.234329230174455
"Hw","Snag","Alive",360.277,287.469,NA,11.2446040364007,12.8913,NA,NA,25,"CC","A1",19,1,0.0218151209109254,0.234329230174455
"Sx","Snag","Alive",170.23,412.965,NA,6.81221698728925,5.91669,NA,NA,25,"CC","A1",26,1,0.00368501682638067,0.234329230174455
"Pl","Snag","Alive",169.049,475.36,NA,11.2446040364007,8.44798,NA,NA,25,"CC","A1",29,1,0.00977849228403476,0.234329230174455
"Pl","Snag","Alive",172.051,476.271,NA,16.2047481552779,15.9045,NA,NA,25,"CC","A1",29,1,0.0426531322845223,0.234329230174455
"Pl","Snag","Alive",234.103,96.6499,NA,13.6406187826214,11.5673,NA,NA,26,"CC","A1",3,1,0.0205053185990117,0.256818654066172
"Hw","Snag","Alive",298.111,150.955,NA,11.2446040364007,10.457,NA,NA,26,"CC","A1",7,1,0.0143784540774896,0.256818654066172
"Pl","Snag","Alive",418.754,155.419,NA,16.1104774292215,15.7191,NA,NA,26,"CC","A1",9,1,0.0415347279858814,0.256818654066172
"Pl","Snag","Alive",232.691,222.544,NA,16.7716032857901,17.0737,NA,NA,26,"CC","A1",12,1,0.0500554852692587,0.256818654066172
"Pl","Snag","Alive",416.521,220.301,NA,14.9505591450994,13.6171,NA,NA,26,"CC","A1",15,1,0.0299234819369506,0.256818654066172
"Hw","Snag","Alive",360.277,287.469,NA,11.2446040364007,12.8913,NA,NA,26,"CC","A1",19,1,0.0218151209109254,0.256818654066172
"Hw","Snag","Alive",107.375,414.514,NA,11.2446040364007,13.0897,NA,NA,26,"CC","A1",25,1,0.0224894238917166,0.256818654066172
"Sx","Snag","Alive",170.23,412.965,NA,6.81221698728925,5.91669,NA,NA,26,"CC","A1",26,1,0.00368501682638067,0.256818654066172
"Pl","Snag","Alive",169.049,475.36,NA,11.2446040364007,8.44798,NA,NA,26,"CC","A1",29,1,0.00977849228403476,0.256818654066172
