"unit","Species","Type","Dead.Code","X","Y","Diam10","DBH","Height","Light","Growth","dead","Volume","timestep","treatment","Class","C_tree","C_unit"
3,"Bl","Snag","Alive",145.565,88.867,NA,11.9983,10.1318,NA,NA,NA,NA,11,"ctrl",3,0.0152442921804885,0.988775347910582
3,"Bl","Snag","Alive",51.6854,53.5802,NA,7.24675,7.03255,NA,NA,NA,NA,12,"ctrl",3,0.00434160990303461,1.05643294461843
3,"Bl","Snag","Alive",58.7595,89.3447,NA,9.10722,8.2998,NA,NA,NA,NA,12,"ctrl",3,0.00767176121797765,1.05643294461843
3,"Bl","Snag","Alive",67.033,95.1842,NA,22.7685,15.6957,NA,NA,NA,NA,12,"ctrl",3,0.0741752635891072,1.05643294461843
3,"Bl","Snag","Alive",69.8206,111.334,NA,16.1478,12.4941,NA,NA,NA,NA,12,"ctrl",3,0.0318538465529999,1.05643294461843
3,"Bl","Snag","Alive",66.9271,130.913,NA,32.8919,19.4963,NA,NA,NA,NA,12,"ctrl",3,0.181231277748385,1.05643294461843
3,"Bl","Snag","Alive",73.862,88.059,NA,9.99869,8.88201,NA,NA,NA,NA,12,"ctrl",3,0.00968193540462099,1.05643294461843
3,"Bl","Snag","Alive",72.2109,111.186,NA,13.3514,10.9352,NA,NA,NA,NA,12,"ctrl",3,0.0198819951863095,1.05643294461843
3,"Bl","Snag","Alive",85.8634,103.517,NA,21.9287,15.3245,NA,NA,NA,NA,12,"ctrl",3,0.0676575967078466,1.05643294461843
3,"Bl","Snag","Alive",100.739,53.7455,NA,21.634,15.192,NA,NA,NA,NA,12,"ctrl",3,0.065452067228306,1.05643294461843
3,"Bl","Snag","Alive",97.6195,56.0063,NA,12.4032,10.3756,NA,NA,NA,NA,12,"ctrl",3,0.0165559262340338,1.05643294461843
3,"Bl","Snag","Alive",111.446,57.1853,NA,8.59626,7.9589,NA,NA,NA,NA,12,"ctrl",3,0.00664357753544209,1.05643294461843
3,"Sx","Snag","Alive",113.262,79.6704,NA,43.6584,25.893,NA,NA,NA,NA,12,"ctrl",3,0.345925671744047,1.05643294461843
3,"Bl","Snag","Alive",119.893,115.57,NA,19.7839,14.3322,NA,NA,NA,NA,12,"ctrl",3,0.0525586857953763,1.05643294461843
3,"Bl","Snag","Alive",112.645,114.498,NA,22.5781,15.6124,NA,NA,NA,NA,12,"ctrl",3,0.0726673329830358,1.05643294461843
3,"Bl","Snag","Alive",132.086,106.606,NA,24.0614,16.2489,NA,NA,NA,NA,12,"ctrl",3,0.0848901046074171,1.05643294461843
3,"Bl","Snag","Alive",145.565,88.867,NA,11.9983,10.1318,NA,NA,NA,NA,12,"ctrl",3,0.0152442921804885,1.05643294461843
3,"Bl","Snag","Alive",51.6854,53.5802,NA,7.24675,7.03255,NA,NA,NA,NA,13,"ctrl",3,0.00434160990303461,1.05643294461843
3,"Bl","Snag","Alive",58.7595,89.3447,NA,9.10722,8.2998,NA,NA,NA,NA,13,"ctrl",3,0.00767176121797765,1.05643294461843
3,"Bl","Snag","Alive",67.033,95.1842,NA,22.7685,15.6957,NA,NA,NA,NA,13,"ctrl",3,0.0741752635891072,1.05643294461843
3,"Bl","Snag","Alive",69.8206,111.334,NA,16.1478,12.4941,NA,NA,NA,NA,13,"ctrl",3,0.0318538465529999,1.05643294461843
3,"Bl","Snag","Alive",66.9271,130.913,NA,32.8919,19.4963,NA,NA,NA,NA,13,"ctrl",3,0.181231277748385,1.05643294461843
3,"Bl","Snag","Alive",73.862,88.059,NA,9.99869,8.88201,NA,NA,NA,NA,13,"ctrl",3,0.00968193540462099,1.05643294461843
3,"Bl","Snag","Alive",72.2109,111.186,NA,13.3514,10.9352,NA,NA,NA,NA,13,"ctrl",3,0.0198819951863095,1.05643294461843
3,"Bl","Snag","Alive",85.8634,103.517,NA,21.9287,15.3245,NA,NA,NA,NA,13,"ctrl",3,0.0676575967078466,1.05643294461843
3,"Bl","Snag","Alive",100.739,53.7455,NA,21.634,15.192,NA,NA,NA,NA,13,"ctrl",3,0.065452067228306,1.05643294461843
3,"Bl","Snag","Alive",97.6195,56.0063,NA,12.4032,10.3756,NA,NA,NA,NA,13,"ctrl",3,0.0165559262340338,1.05643294461843
3,"Bl","Snag","Alive",111.446,57.1853,NA,8.59626,7.9589,NA,NA,NA,NA,13,"ctrl",3,0.00664357753544209,1.05643294461843
3,"Sx","Snag","Alive",113.262,79.6704,NA,43.6584,25.893,NA,NA,NA,NA,13,"ctrl",3,0.345925671744047,1.05643294461843
3,"Bl","Snag","Alive",119.893,115.57,NA,19.7839,14.3322,NA,NA,NA,NA,13,"ctrl",3,0.0525586857953763,1.05643294461843
3,"Bl","Snag","Alive",112.645,114.498,NA,22.5781,15.6124,NA,NA,NA,NA,13,"ctrl",3,0.0726673329830358,1.05643294461843
3,"Bl","Snag","Alive",132.086,106.606,NA,24.0614,16.2489,NA,NA,NA,NA,13,"ctrl",3,0.0848901046074171,1.05643294461843
3,"Bl","Snag","Alive",145.565,88.867,NA,11.9983,10.1318,NA,NA,NA,NA,13,"ctrl",3,0.0152442921804885,1.05643294461843
3,"Bl","Snag","Alive",51.6854,53.5802,NA,7.24675,7.03255,NA,NA,NA,NA,14,"ctrl",3,0.00434160990303461,1.05643294461843
3,"Bl","Snag","Alive",58.7595,89.3447,NA,9.10722,8.2998,NA,NA,NA,NA,14,"ctrl",3,0.00767176121797765,1.05643294461843
3,"Bl","Snag","Alive",67.033,95.1842,NA,22.7685,15.6957,NA,NA,NA,NA,14,"ctrl",3,0.0741752635891072,1.05643294461843
3,"Bl","Snag","Alive",69.8206,111.334,NA,16.1478,12.4941,NA,NA,NA,NA,14,"ctrl",3,0.0318538465529999,1.05643294461843
3,"Bl","Snag","Alive",66.9271,130.913,NA,32.8919,19.4963,NA,NA,NA,NA,14,"ctrl",3,0.181231277748385,1.05643294461843
3,"Bl","Snag","Alive",73.862,88.059,NA,9.99869,8.88201,NA,NA,NA,NA,14,"ctrl",3,0.00968193540462099,1.05643294461843
3,"Bl","Snag","Alive",72.2109,111.186,NA,13.3514,10.9352,NA,NA,NA,NA,14,"ctrl",3,0.0198819951863095,1.05643294461843
3,"Bl","Snag","Alive",85.8634,103.517,NA,21.9287,15.3245,NA,NA,NA,NA,14,"ctrl",3,0.0676575967078466,1.05643294461843
3,"Bl","Snag","Alive",100.739,53.7455,NA,21.634,15.192,NA,NA,NA,NA,14,"ctrl",3,0.065452067228306,1.05643294461843
3,"Bl","Snag","Alive",97.6195,56.0063,NA,12.4032,10.3756,NA,NA,NA,NA,14,"ctrl",3,0.0165559262340338,1.05643294461843
3,"Bl","Snag","Alive",111.446,57.1853,NA,8.59626,7.9589,NA,NA,NA,NA,14,"ctrl",3,0.00664357753544209,1.05643294461843
3,"Sx","Snag","Alive",113.262,79.6704,NA,43.6584,25.893,NA,NA,NA,NA,14,"ctrl",3,0.345925671744047,1.05643294461843
3,"Bl","Snag","Alive",119.893,115.57,NA,19.7839,14.3322,NA,NA,NA,NA,14,"ctrl",3,0.0525586857953763,1.05643294461843
3,"Bl","Snag","Alive",112.645,114.498,NA,22.5781,15.6124,NA,NA,NA,NA,14,"ctrl",3,0.0726673329830358,1.05643294461843
3,"Bl","Snag","Alive",132.086,106.606,NA,24.0614,16.2489,NA,NA,NA,NA,14,"ctrl",3,0.0848901046074171,1.05643294461843
3,"Bl","Snag","Alive",145.565,88.867,NA,11.9983,10.1318,NA,NA,NA,NA,14,"ctrl",3,0.0152442921804885,1.05643294461843
3,"Bl","Snag","Alive",51.6854,53.5802,NA,7.24675,7.03255,NA,NA,NA,NA,15,"ctrl",3,0.00434160990303461,1.10318051268031
3,"Ac","Snag","Alive",59.3079,68.4891,NA,6.41509,8.22415,NA,NA,NA,NA,15,"ctrl",3,0.00337839804869575,1.10318051268031
3,"Bl","Snag","Alive",58.7595,89.3447,NA,9.10722,8.2998,NA,NA,NA,NA,15,"ctrl",3,0.00767176121797765,1.10318051268031
3,"Bl","Snag","Alive",67.033,95.1842,NA,22.7685,15.6957,NA,NA,NA,NA,15,"ctrl",3,0.0741752635891072,1.10318051268031
3,"Bl","Snag","Alive",69.8206,111.334,NA,16.1478,12.4941,NA,NA,NA,NA,15,"ctrl",3,0.0318538465529999,1.10318051268031
3,"Bl","Snag","Alive",70.6276,108.634,NA,18.2978,13.6055,NA,NA,NA,NA,15,"ctrl",3,0.04336917001319,1.10318051268031
3,"Bl","Snag","Alive",66.9271,130.913,NA,32.8919,19.4963,NA,NA,NA,NA,15,"ctrl",3,0.181231277748385,1.10318051268031
3,"Bl","Snag","Alive",73.862,88.059,NA,9.99869,8.88201,NA,NA,NA,NA,15,"ctrl",3,0.00968193540462099,1.10318051268031
3,"Bl","Snag","Alive",72.2109,111.186,NA,13.3514,10.9352,NA,NA,NA,NA,15,"ctrl",3,0.0198819951863095,1.10318051268031
3,"Bl","Snag","Alive",85.8634,103.517,NA,21.9287,15.3245,NA,NA,NA,NA,15,"ctrl",3,0.0676575967078466,1.10318051268031
3,"Bl","Snag","Alive",100.739,53.7455,NA,21.634,15.192,NA,NA,NA,NA,15,"ctrl",3,0.065452067228306,1.10318051268031
3,"Bl","Snag","Alive",97.6195,56.0063,NA,12.4032,10.3756,NA,NA,NA,NA,15,"ctrl",3,0.0165559262340338,1.10318051268031
3,"Bl","Snag","Alive",111.446,57.1853,NA,8.59626,7.9589,NA,NA,NA,NA,15,"ctrl",3,0.00664357753544209,1.10318051268031
3,"Sx","Snag","Alive",113.262,79.6704,NA,43.6584,25.893,NA,NA,NA,NA,15,"ctrl",3,0.345925671744047,1.10318051268031
3,"Bl","Snag","Alive",119.893,115.57,NA,19.7839,14.3322,NA,NA,NA,NA,15,"ctrl",3,0.0525586857953763,1.10318051268031
3,"Bl","Snag","Alive",112.645,114.498,NA,22.5781,15.6124,NA,NA,NA,NA,15,"ctrl",3,0.0726673329830358,1.10318051268031
3,"Bl","Snag","Alive",132.086,106.606,NA,24.0614,16.2489,NA,NA,NA,NA,15,"ctrl",3,0.0848901046074171,1.10318051268031
3,"Bl","Snag","Alive",145.565,88.867,NA,11.9983,10.1318,NA,NA,NA,NA,15,"ctrl",3,0.0152442921804885,1.10318051268031
3,"Bl","Snag","Alive",51.6854,53.5802,NA,7.24675,7.03255,NA,NA,NA,NA,16,"ctrl",3,0.00434160990303461,1.32227109333974
3,"Ac","Snag","Alive",59.3079,68.4891,NA,6.41509,8.22415,NA,NA,NA,NA,16,"ctrl",3,0.00337839804869575,1.32227109333974
3,"Bl","Snag","Alive",58.7595,89.3447,NA,9.10722,8.2998,NA,NA,NA,NA,16,"ctrl",3,0.00767176121797765,1.32227109333974
3,"Bl","Snag","Alive",67.033,95.1842,NA,22.7685,15.6957,NA,NA,NA,NA,16,"ctrl",3,0.0741752635891072,1.32227109333974
3,"Bl","Snag","Alive",69.8206,111.334,NA,16.1478,12.4941,NA,NA,NA,NA,16,"ctrl",3,0.0318538465529999,1.32227109333974
3,"Bl","Snag","Alive",70.6276,108.634,NA,18.2978,13.6055,NA,NA,NA,NA,16,"ctrl",3,0.04336917001319,1.32227109333974
3,"Bl","Snag","Alive",66.9271,130.913,NA,32.8919,19.4963,NA,NA,NA,NA,16,"ctrl",3,0.181231277748385,1.32227109333974
3,"Bl","Snag","Alive",73.862,88.059,NA,9.99869,8.88201,NA,NA,NA,NA,16,"ctrl",3,0.00968193540462099,1.32227109333974
3,"Bl","Snag","Alive",72.2109,111.186,NA,13.3514,10.9352,NA,NA,NA,NA,16,"ctrl",3,0.0198819951863095,1.32227109333974
